Company,Started Process?,Their Urgency,Industry Interest,Glassdoor Score,Learning Opportunities,Perceived Work Life Score,On Call?,Total Score
Age of Learning,1,1,3,3.8,3.5,4,,165
AgentSync,1,4,1,3.4,5,4,1,182
Annapurna (Accelerant),1,4,1,3.1,3.5,3,,154
Forward Financing,1,3,4,4.4,3.5,4.5,,197.5
Harnham (Class Dojo),0,2,3,4.6,4.5,3.7,,175.5
Informed K12,1,1,3,4.6,4,5,,193
Kobie,0,1,2,3.6,3,2.5,,120.5
ShorePoint,1,5,3.5,4.6,5,2.5,0,196
Tactiq,1,1,3,3.6,3.5,5,0,178
Weight,10,7,5,10,10,15,-5,
