Company,Role,Auto Rejected,In-Progress,HR/ Recruiter Call,Hiring Manager,Technical Interview/ Assessment,Panel Interview,Offer
AgileEngine,Data Engineer,N,N,,,,,
Apptegy,Senior Data Engineer,N,N,Y,Y,Y,Y,Y
ClassDojo,Staff Analytics Engineer,N,N,Y,Y,Y,Y,N
CoBank,Senior Data Engineer,N,N,N,,,,
DeleteMe,Lead Data Warehouse Developer,N,N,Y,Y,Y,Y,Y
ezCater,Senior Data Engineer,N,N,Y,,,,
Magpie Literacy,Senior Data Engineer,N,N,Y,,Y,Y,
Textio,Senior Software Engineer (Data Engineer),N,N,Y,Y,,,
True RX,Senior Data Engineer (Data Services),N,N,Y,,,,
Sardine,Senior Data Platform Engineer,Y,N,,,,,
AllTrails,Senior Data Engineer,Y,,,,,,
BridgeBio,Senior Data Engineer,Y,,,,,,
CashApp,"Senior Business Intelligence Engineer, Support",Y,,,,,,
Cytovale,Senior/Clinical Data Research Engineer,Y,,,,,,
Dave,Senior Data Engineer,Y,,,,,,
Docker,Senior Data Engineer,Y,,,,,,
Earnest,Senior Analytics Engineer,Y,,,,,,
Experian,Big Data Engineer,Y,,,,,,
First Stop Health,Senior Data Engineer,Y,,,,,,
Fixify,Senior Data Engineer,Y,,,,,,
honeycomb.io,Senior Data Engineer,Y,,,,,,
Ironclad,Senior Analytics Engineer,Y,,,,,,
Left Field Labs,Senior Software Engineer Data,Y,,,,,,
Lithic,Senior Analytics Engineer,Y,,,,,,
Maven Clinic,Lead Analytics Engineer,Y,,,,,,
Mercury,Senior Analytics Engineer,Y,,,,,,
Recharge,Senior Data Engineer,Y,,,,,,
Rinsed,Senior Data/ Analytics Engineer,Y,,,,,,
Risk Labs,Senior Data Engineer,Y,,,,,,
SonderMind,"Data Engineering Lead, Analytics & Source ETLData Engineering Lead, Analytics & Source ETL",Y,,,,,,
Spring Health,Senior Analytics Engineer,Y,,,,,,
Two Chairs,Data Engineer,Y,,,,,,
UChicago Medicine,Analytics Engineer,Y,,,,,,
UShip,Data Engineer,Y,,,,,,
Apera,Data/ Analytics Lead,,,,,,,
AppFolio,Senior Data Engineer (Data Services),,,,,,,
Aura,Senior Data Engineer,,,,,,,
BluelightAI,Data Science Software Engineer,,,,,,,
Canary Technologies,Data Engineer,,,,,,,
Common Room,Data Scientist/ Engineer,,,,,,,
Cyera,Senior Analytics Engineer,,,,,,,
Elder Research,Data Engineer,,,,,,,
ElevenLabs,Data Engineer - RevOps & Finance,,,,,,,
Energy Jobline,Senior Analytics Engineer,,,,,,,
Enigma Technologies,Senior Software Engineer Data Product,,,,,,,
Fetch,Senior Analytics Engineer,,,,,,,
Flex,Senior Software Engineer Data,,,,,,,
Flex,Senior Data Engineer,,,,,,,
Instacart,"Senior Data Engineer, Growth",,,,,,,
Kickstarter,Senior Data/ Analytics Engineer,,,,,,,
Lark,Senior Software Engineer Data,,,,,,,
LiveRamp,Senior Software Engineer Data Foundations,,,,,,,
MaestroQA,Senior Software Engineer,,,,,,,
Pattern Data,Senior Data Engineer,,,,,,,
Qu,Senior Data Engineer & Analyst,,,,,,,
Quantum Metrics,Senior Software Engineer (Data Engineer),,,,,,,
SageSure,Principal BI Engineer,,,,,,,
SageSure,Senior Engineer - Integrations,,,,,,,
Seemas,Data Engineer,,,,,,,
Stedi,Product Analytics Engineer,,,,,,,
Tradeweb,Data Visualization Engineer,,,,,,,
Valon,Senior Software Engineer,,,,,,,
