Company,Role,Auto Rejected,In-Progress,HR/ Recruiter Call,Hiring Manager,Technical Interview/ Assessment,Panel Interview,Offer
Harnham (Class Dojo),Staff Analytics Engineer,N,N,Y,,,,
Informed K12,Senior Data Engineer,N,N,Y,Y,Y,,
Kobie,Senior Data Architect,N,N,Y,,,,
Peer Supply,Senior Data Engineer,N,N,Y,,,,
Rocket Money,Senior Analytics Engineer,N,N,Y,,,,
Soostone,Senior Software Engineer - Data Science,N,N,Y,,,,
Splunk,Product Data Engineer,Y,N,Y,,,,
Accompany Health,Senior Data Engineer,N,N,Y,,Y,,
Age of Learning,Senior Data Engineer,N,N,Y,,Y,,
AgentSync,Senior Software Engineer - Data Platform,N,N,Y,Y,,Y,
Aledade,Senior Software Engineer Data Infrastructure,N,N,Y,Y,Y,N,
Aledade,Senior Software Engineer,N,N,,,,,
Annapurna (Accelerant),Data Architect,N,N,Y,Y,,,
Avality,Data Engineer III,N,N,Y,N,,,
Blackpoint Cyber,Senior Data Analytics Engineer,N,N,Y,Y,,Y,
Branch,Senior Data Engineer,N,N,Y,Y,N,,
Brightwheel,Senior Data Engineer,N,N,Y,Y,N,,
Cellares,Senior Data Engineer,N,N,Y,Y,,Y,
Forward Financing,Senior Analytics Engineer,N,N,Y,Y,Y,Y,
HMH,Senior Analytics Engineer,N,N,Y,Y,,Y,Y
Lob,Senior Analytics Engineer,N,N,,,,,
Mercury,Senior Software Engineer,N,N,Y,Y,Y,N,
Pulselight,Senior Data Engineer,N,N,Y,Y,,,
Qventus,Senior Data Platform Engineer,N,N,Y,Y,Y,Y,N
Rebrandly,Data Engineer,N,N,G,,,,
SailPoint,Senior Data Engineer,N,N,Y,N,,,
ShorePoint,Data Infrastructure Engineer,N,N,Y,Y,,,Y
Spring Health,Senior Software Engineer,N,N,Y,N,,,
Summit Human Capital,Redshift Data Engineer,N,N,Y,,,,
Tactiq,Senior Data Architect,N,N,Y,Y,Y,,G
A Place For Mom,Senior Data Engineer,Y,N,,,,,
AG1,Senior Analytics Engineer,Y,N,,,,,
Alto,Senior Data Engineer,Y,N,,,,,
Asset Living,Data Engineering and Science Lead,Y,N,,,,,
Avalere Health,Data Engineer,Y,N,,,,,
BitMEX,Senior Data Engineer,Y,N,,,,,
CACI,Senior Data Architect,Y,N,,,,,
Carrum Health,Senior Analytics Engineer,Y,N,,,,,
Circle,Senior Data Analyst,Y,N,,,,,
CloudZero,Senior Software Engineer,Y,N,,,,,
CrowdStrike,Senior Software Engineer,Y,N,,,,,
DAS42,Senior Data Engineer,Y,N,,,,,
Datavant,Senior Data Engineer,Y,N,,,,,
Descript,Senior Data Engineer,Y,N,,,,,
Digible,Staff/ Senior Data Engineer,Y,N,,,,,
Discord,Senior Data Engineer,Y,N,,,,,
Docker,Senior Analytics Engineer,Y,N,,,,,
Docker,Senior Analytics Engineer,Y,N,,,,,
DoorDash,Senior Software Engineer Data Engineering,Y,N,,,,,
Everstream,Senior Data Engineer,Y,N,,,,,
Experian,Data Engineer,Y,N,,,,,
F&G,Senior Data Engineer,Y,N,,,,,
Garner Health,Senior Data Engineer,Y,N,,,,,
Gauntlet,Data Scientist,Y,N,,,,,
GitHub,Senior Software Engineer,Y,N,,,,,
Grafana Labs,Senior Data Engineer,Y,N,,,,,
HackerOne,Analytics Engineer,Y,N,,,,,
Headspace,Senior Business Intelligence Engineer,Y,N,,,,,
Headway,Senior Product Analyst,Y,N,,,,,
HubSpot,Senior Software Engineer,Y,N,,,,,
Kard Financial,Senior Data Engineer,Y,N,,,,,
Kin Insurance,Staff Data Engineer,Y,N,,,,,
Lawrence Livemore National Laboratory,Data Warehouse Developer,Y,N,,,,,
LogicManager,Principal Business Intelligence Engineer,Y,N,,,,,
Lumos,Lead Analytics Engineer,Y,N,,,,,
Maven Clinic,Senior Data Engineer,Y,N,,,,,
Microsoft,Senior Data Engineer,Y,N,,,,,
Montage Health,Senior Data Warehouse Engineer,Y,N,,,,,
Mozilla,Senior Data Engineer,Y,N,,,,,
NBC Universal,Senior Data Engineer,Y,N,,,,,
ngrok,Senior Data Engineer,Y,N,,,,,
